Event	ID	Name			Wwise Object Path	Notes
	1161967626	shield			\Default Work Unit\shield	
	2389703494	boost			\Default Work Unit\boost	
	3071260525	hull_impact			\Default Work Unit\hull_impact	
	3802027347	shield_impact			\Default Work Unit\shield_impact	

Switch Group	ID	Name			Wwise Object Path	Notes
	3044858104	Hazard_type			\Default Work Unit\Hazard_type	

Switch	ID	Name	Switch Group			Notes
	13339075	Meteorite	Hazard_type			
	1488423865	Pizza	Hazard_type			
	3678222337	Toxic_waste	Hazard_type			

Effect plug-ins	ID	Name	Type				Notes
	753900152	Wwise Guitar Distortion (Custom)	Wwise Guitar Distortion			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	20995278	boost_end	X:\UnityProjects\SpaceWashersClean\Wwise\.cache\Windows\SFX\boost_end_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Spaceship_Mixer\boost\boost_end		363892
	90977210	shield_on	X:\UnityProjects\SpaceWashersClean\Wwise\.cache\Windows\SFX\shield_on_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Spaceship_Mixer\shield\shield_engage\shield_on		24064
	168564473	boost_start	X:\UnityProjects\SpaceWashersClean\Wwise\.cache\Windows\SFX\boost_start_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Spaceship_Mixer\boost\Ignition\boost_start		132364
	192410636	hull_4	X:\UnityProjects\SpaceWashersClean\Wwise\.cache\Windows\SFX\hull_4_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Hull_Impact_Mixer\hull_sounds\hull_4		202652
	423809210	boost_loop	X:\UnityProjects\SpaceWashersClean\Wwise\.cache\Windows\SFX\boost_loop_12F9BD65.wem		\Actor-Mixer Hierarchy\Default Work Unit\Spaceship_Mixer\boost\Ignition\boost_loop		474140
	509321733	hull_3	X:\UnityProjects\SpaceWashersClean\Wwise\.cache\Windows\SFX\hull_3_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Hull_Impact_Mixer\hull_sounds\hull_3		201272
	548323127	hull_2	X:\UnityProjects\SpaceWashersClean\Wwise\.cache\Windows\SFX\hull_2_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Hull_Impact_Mixer\hull_sounds\hull_2		180004
	599990140	hull_5	X:\UnityProjects\SpaceWashersClean\Wwise\.cache\Windows\SFX\hull_5_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Hull_Impact_Mixer\hull_sounds\hull_5		169024
	683262076	shield_loop	X:\UnityProjects\SpaceWashersClean\Wwise\.cache\Windows\SFX\shield_loop_4B8CC0C5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Spaceship_Mixer\shield\shield_engage\shield_loop		768064
	726897434	shield_impact	X:\UnityProjects\SpaceWashersClean\Wwise\.cache\Windows\SFX\shield_impact_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Spaceship_Mixer\shield_impact		200836
	779591091	shield_off	X:\UnityProjects\SpaceWashersClean\Wwise\.cache\Windows\SFX\shield_off_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Spaceship_Mixer\shield\shield_off		60064
	974027785	hull_1	X:\UnityProjects\SpaceWashersClean\Wwise\.cache\Windows\SFX\hull_1_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Hull_Impact_Mixer\hull_sounds\hull_1		220564

